Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Point of Contact
27/05/2022,35000,2,2,800,9 out of 20,Carpet Area,Borivali East,Mumbai,Semi-Furnished,Family,Contact Agent
10/05/2022,32000,2,2,830,13 out of 14,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
29/05/2022,16000,1,1,410,Ground out of 4,Carpet Area,Mamletdarwadi,Mumbai,Unfurnished,Bachelors,Contact Owner
01/06/2022,33000,1,2,428,7 out of 11,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
23/05/2022,8500,1,1,550,3 out of 5,Super Area,Thane-Kalyan-Dombivli,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
17/06/2022,60000,2,2,630,11 out of 22,Carpet Area,Central Area,Mumbai,Unfurnished,Bachelors,Contact Agent
27/06/2022,20000,1,2,550,5 out of 7,Super Area,Rock garden Chs,Mumbai,Unfurnished,Bachelors,Contact Owner
28/05/2022,38000,1,2,450,4 out of 8,Carpet Area,"Juveria Apartment, Mazgaon",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
04/06/2022,100000,2,2,750,Upper Basement out of 30,Carpet Area,"Lodha NCP Commercial , Wadala",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
25/06/2022,65000,2,2,800,12 out of 14,Carpet Area,"Kabra Centroid, Santacruz East",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
01/07/2022,80000,3,3,1050,16 out of 31,Carpet Area,"HDIL Metropolis, Andheri West",Mumbai,Furnished,Family,Contact Agent
06/07/2022,85000,2,2,850,1 out of 8,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors,Contact Agent
20/06/2022,600000,4,4,2500,12 out of 13,Carpet Area,"Mount Marry, Bandra West",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
23/06/2022,150000,3,3,2000,6 out of 7,Carpet Area,"Saraswati Sadan, Parel",Mumbai,Furnished,Bachelors/Family,Contact Agent
06/07/2022,130000,3,4,1330,11 out of 51,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
10/06/2022,55000,3,3,950,2 out of 12,Carpet Area,Srishti Complex,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
16/06/2022,23000,1,2,435,9 out of 22,Carpet Area,Kandivali West,Mumbai,Semi-Furnished,Bachelors,Contact Agent
04/06/2022,95000,3,4,1300,8 out of 16,Carpet Area,"Bharat Ark, Andheri West",Mumbai,Semi-Furnished,Bachelors,Contact Agent
29/04/2022,40000,2,2,650,Ground out of 4,Super Area,Andheri West,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
06/07/2022,180000,3,3,1550,22 out of 24,Carpet Area,Lower Parel,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
04/07/2022,25000,1,1,380,3 out of 4,Carpet Area,Irla,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
31/05/2022,140000,4,4,1454,7 out of 14,Carpet Area,Central Avenue Road,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
01/06/2022,55000,2,2,860,9 out of 20,Carpet Area,"K Raheja Maple Leaf, Powai",Mumbai,Semi-Furnished,Family,Contact Agent
14/06/2022,46000,2,2,680,4 out of 7,Carpet Area,"Trans Residency, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
04/07/2022,22000,1,2,433,2 out of 7,Carpet Area,"Highway Park Apartment, Kandivali East",Mumbai,Unfurnished,Bachelors,Contact Agent
27/06/2022,55100,2,2,710,10 out of 22,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
06/07/2022,65000,2,2,700,5 out of 7,Carpet Area,Mahim,Mumbai,Furnished,Bachelors,Contact Agent
26/05/2022,33000,1,1,550,Ground out of 4,Carpet Area,"Supreme Divine Light CHS, Chakala",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
25/06/2022,320000,4,5,2700,10 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
10/05/2022,33000,1,1,350,Ground out of 5,Super Area,Andheri West,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
10/05/2022,25000,1,1,490,7 out of 8,Super Area,Bhandup East,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
09/07/2022,300000,3,3,1225,5 out of 13,Carpet Area,"Mount Marry, Mount Mary",Mumbai,Furnished,Bachelors/Family,Contact Agent
28/06/2022,100000,3,5,1286,7 out of 21,Carpet Area,"Lodha Bel Air, Jogeshwari West",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
14/05/2022,33000,1,2,425,5 out of 7,Carpet Area,Collector Colony,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
06/07/2022,35000,2,2,550,7 out of 7,Carpet Area,90 ft road,Mumbai,Semi-Furnished,Bachelors,Contact Agent
09/07/2022,130000,3,3,1224,14 out of 21,Carpet Area,Mumbai Central,Mumbai,Unfurnished,Family,Contact Agent
09/07/2022,80000,3,3,950,17 out of 25,Carpet Area,Byculla West,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
04/06/2022,10000,1,2,425,9 out of 14,Carpet Area,"Nicon Infinity, Vasai East",Mumbai,Semi-Furnished,Bachelors,Contact Owner
03/06/2022,92500,3,3,1000,6 out of 7,Carpet Area,"Rustomjee Central Park, Chakala",Mumbai,Furnished,Bachelors/Family,Contact Agent
07/07/2022,57000,2,2,710,15 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
06/07/2022,170000,3,3,1300,5 out of 8,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
13/05/2022,29999,1,2,433,8 out of 20,Carpet Area,"Altavista, Sion Trombay Road",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
14/05/2022,42000,2,2,650,8 out of 15,Carpet Area,Kings Circle,Mumbai,Furnished,Bachelors,Contact Agent
09/07/2022,330000,3,4,1650,8 out of 27,Carpet Area,buena vista,Mumbai,Furnished,Bachelors,Contact Agent
29/04/2022,24000,2,1,600,1 out of 5,Super Area,Mulund West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
05/05/2022,35000,2,2,850,3 out of 6,Super Area,Malad West,Mumbai,Semi-Furnished,Family,Contact Owner
07/07/2022,14000,1,1,305,6 out of 24,Carpet Area,Kandivali West,Mumbai,Unfurnished,Bachelors,Contact Agent
12/06/2022,45000,2,2,490,2 out of 3,Carpet Area,Gandhi Market,Mumbai,Furnished,Bachelors/Family,Contact Agent
24/05/2022,36000,2,2,690,4 out of 8,Carpet Area,Mulund West,Mumbai,Semi-Furnished,Bachelors,Contact Agent
31/05/2022,53500,2,2,635,17 out of 20,Carpet Area,"Nahar Jonquille and Jamaica, Chandivali",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
07/07/2022,80000,3,2,1100,18 out of 22,Carpet Area,"Nahar Amrit Shakti powai, Chandivali",Mumbai,Furnished,Bachelors/Family,Contact Agent
27/06/2022,7500,1,1,250,1 out of 7,Super Area,Chinmay Gaurang Infrastructure Old Panvel,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
23/06/2022,140000,3,3,1200,9 out of 30,Carpet Area,Worli Sea Face,Mumbai,Furnished,Bachelors/Family,Contact Agent
23/06/2022,95000,2,2,750,2 out of 7,Carpet Area,"Queens Palace, Bandra West",Mumbai,Unfurnished,Bachelors,Contact Agent
06/06/2022,130000,3,3,1100,3 out of 8,Carpet Area,Khar West,Mumbai,Furnished,Bachelors/Family,Contact Agent
01/06/2022,45000,2,2,700,4 out of 7,Carpet Area,"Bindra Complex , Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
23/06/2022,110000,2,2,1150,11 out of 26,Carpet Area,"Ivory Tower, Prabhadevi",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
28/06/2022,120000,3,3,1379,17 out of 27,Carpet Area,Parmanand Wadi,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
23/06/2022,60000,1,1,500,9 out of 10,Carpet Area,"Vaibhav Apartments, Dadar West",Mumbai,Furnished,Bachelors/Family,Contact Agent
26/06/2022,120000,3,3,1400,10 out of 32,Super Area,"Avarsekar Heights, Worli",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
30/06/2022,40000,1,1,390,4 out of 12,Carpet Area,Parel,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
04/06/2022,50000,2,2,935,2 out of 6,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,Contact Owner
27/05/2022,36000,2,2,535,12 out of 16,Carpet Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
10/06/2022,150000,3,3,1250,6 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
12/06/2022,230000,4,4,3700,5 out of 20,Carpet Area,"Lake Superior, Powai",Mumbai,Furnished,Bachelors/Family,Contact Agent
28/06/2022,25000,1,2,350,10 out of 24,Carpet Area,Lower Parel,Mumbai,Unfurnished,Bachelors,Contact Agent
27/05/2022,190000,3,4,1350,65 out of 76,Carpet Area,"Lodha Marquise, Worli",Mumbai,Semi-Furnished,Family,Contact Agent
27/04/2022,61000,3,3,1550,5 out of 20,Carpet Area,"Lovedale Residences, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
27/06/2022,70000,3,3,1100,7 out of 10,Carpet Area,"Kohinoor City Phase II, Holly Cross Church Chowk",Mumbai,Furnished,Bachelors/Family,Contact Agent
16/06/2022,42000,3,3,950,5 out of 7,Carpet Area,Mulund East,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
10/06/2022,27000,1,1,400,1 out of 7,Carpet Area,Govandi Station Road,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
23/06/2022,60000,2,2,700,3 out of 4,Carpet Area,Irla,Mumbai,Furnished,Bachelors,Contact Agent
23/05/2022,85000,3,2,850,3 out of 4,Super Area,Sion East,Mumbai,Furnished,Bachelors/Family,Contact Owner
30/06/2022,75000,2,2,900,7 out of 9,Carpet Area,"Marine Palace, Marine Lines",Mumbai,Furnished,Bachelors/Family,Contact Agent
14/05/2022,200000,3,3,1208,5 out of 14,Carpet Area,Khar West,Mumbai,Unfurnished,Bachelors,Contact Agent
09/07/2022,170000,3,3,1150,8 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
15/06/2022,180000,3,4,1600,17 out of 60,Carpet Area,"Island City Centre, Dadar TT Circle",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
06/07/2022,55000,2,2,700,10 out of 11,Carpet Area,"Shiv Bhagtani Manor 3A, Powai",Mumbai,Furnished,Bachelors/Family,Contact Agent
13/06/2022,600000,5,5,3200,10 out of 16,Carpet Area,Bandra East,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
23/05/2022,18000,1,1,330,20 out of 22,Super Area,Antop Hill,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
04/06/2022,19000,1,1,225,18 out of 25,Super Area,Worli,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
23/06/2022,150000,3,3,1050,5 out of 7,Carpet Area,JVPD Scheme,Mumbai,Furnished,Bachelors/Family,Contact Agent
19/05/2022,18500,1,1,225,4 out of 7,Carpet Area,Lower Parel,Mumbai,Semi-Furnished,Bachelors,Contact Agent
07/07/2022,35000,1,2,463,5 out of 7,Carpet Area,Rambaug,Mumbai,Furnished,Bachelors/Family,Contact Agent
06/07/2022,200000,4,3,1900,5 out of 11,Carpet Area,"Dheeraj Insignia Apartment, Bandra Kurla Complex",Mumbai,Furnished,Bachelors/Family,Contact Agent
27/05/2022,150000,2,4,1500,15 out of 17,Super Area,Agripada,Mumbai,Furnished,Bachelors/Family,Contact Owner
27/05/2022,70000,2,2,1000,15 out of 23,Carpet Area,"Lake Primrose, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
27/06/2022,35000,1,2,450,6 out of 10,Carpet Area,Borivali West,Mumbai,Semi-Furnished,Bachelors,Contact Agent
20/06/2022,45000,2,2,700,5 out of 17,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,Contact Owner
23/06/2022,30000,1,1,355,2 out of 7,Carpet Area,Chembur East,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
23/06/2022,50000,3,3,1325,3 out of 28,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,Contact Agent
29/04/2022,50000,2,2,950,4 out of 8,Super Area,Ghatkopar East,Mumbai,Furnished,Bachelors/Family,Contact Owner
04/06/2022,42000,1,1,600,5 out of 24,Super Area,"Universal Neo Galaxy, Bhuleshwar",Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
30/05/2022,19500,2,2,905,16 out of 32,Carpet Area,Navi Mumbai-Khargar-Panvel,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
30/06/2022,90000,3,3,1500,6 out of 10,Carpet Area,Walkeshwar,Mumbai,Furnished,Bachelors/Family,Contact Agent
30/06/2022,60000,1,1,455,18 out of 22,Carpet Area,"Sugee Sadan, Dadar West",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
20/06/2022,55000,2,2,850,3 out of 3,Carpet Area,Mahim West,Mumbai,Semi-Furnished,Bachelors,Contact Agent
26/06/2022,40000,3,2,1100,21 out of 22,Super Area,"Hudco Living Point, Bhandup West",Mumbai,Unfurnished,Family,Contact Owner
12/06/2022,40000,1,2,430,4 out of 8,Carpet Area,"Sion East, Sion",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
07/07/2022,36000,2,2,650,10 out of 12,Carpet Area,"Keshav Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
09/07/2022,45000,2,2,795,7 out of 13,Carpet Area,"Runwal Elina, Andheri East",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
20/05/2022,100000,2,2,800,9 out of 12,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,Contact Agent
23/06/2022,42000,1,1,700,15 out of 32,Super Area,"Llyod Estate, Wadala",Mumbai,Furnished,Bachelors/Family,Contact Agent
03/07/2022,45000,1,2,450,5 out of 7,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,Contact Agent
12/06/2022,40000,2,2,575,4 out of 7,Carpet Area,"Sunglow, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
12/06/2022,50000,2,3,650,Ground out of 3,Carpet Area,Mahim West,Mumbai,Furnished,Bachelors,Contact Agent
24/06/2022,11000,1,1,200,4 out of 4,Super Area,Parle Colony,Mumbai,Furnished,Bachelors/Family,Contact Owner
29/04/2022,50000,2,2,1200,2 out of 4,Super Area,Andheri East,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
14/05/2022,34000,1,2,656,16 out of 23,Super Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
09/07/2022,93000,3,3,1600,18 out of 27,Carpet Area,"Godrej Platinum, Vikhroli East",Mumbai,Semi-Furnished,Family,Contact Agent
26/05/2022,69999,3,3,950,7 out of 12,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,Contact Agent
04/06/2022,48000,2,2,719,14 out of 20,Carpet Area,"Raheja Heights Phase 2, Gokuldham",Mumbai,Semi-Furnished,Family,Contact Agent
30/06/2022,55000,3,3,1100,15 out of 16,Carpet Area,"Sakhi, Kandivali West",Mumbai,Unfurnished,Bachelors,Contact Agent
18/05/2022,1000000,4,4,3064,18 out of 45,Carpet Area,"Raheja Artesia, Worli",Mumbai,Semi-Furnished,Family,Contact Agent
19/05/2022,40000,2,2,650,15 out of 15,Carpet Area,"Rustomjee Regency, Gomant Nagar",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
09/07/2022,130000,3,5,1450,9 out of 10,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
30/06/2022,75000,2,2,720,6 out of 14,Carpet Area,"Vikas Finalay Apartments, Parel",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
20/06/2022,23000,2,2,670,1 out of 20,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
09/07/2022,200000,3,3,1350,1 out of 5,Carpet Area,anjali,Mumbai,Furnished,Bachelors,Contact Agent
09/07/2022,55000,3,2,925,16 out of 36,Carpet Area,"Runwal Greens, Mulund West",Mumbai,Unfurnished,Bachelors,Contact Agent
09/07/2022,80000,4,4,1450,30 out of 44,Carpet Area,Best Nagar Goregaon West,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
06/07/2022,220000,3,3,1550,30 out of 37,Carpet Area,"Hiranandani Gardens Torino, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,Contact Agent
07/07/2022,40000,1,2,420,5 out of 7,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,Contact Agent
06/07/2022,35000,2,2,650,5 out of 8,Carpet Area,"Riddhi Garden, Film City Road",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
31/05/2022,33003,2,2,700,3 out of 7,Carpet Area,Dahisar West,Mumbai,Furnished,Family,Contact Agent
19/05/2022,450000,5,5,3400,2 out of 5,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
07/07/2022,65000,2,2,935,2 out of 4,Super Area,in Matunga West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
30/05/2022,45000,2,2,980,Ground out of 5,Carpet Area,"Aditi Apartment, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
17/05/2022,280000,4,4,2800,2 out of 9,Carpet Area,JVPD Scheme,Mumbai,Furnished,Family,Contact Agent
14/05/2022,55000,2,3,700,4 out of 6,Carpet Area,Andheri West,Mumbai,Furnished,Bachelors,Contact Agent
19/05/2022,56000,2,2,720,12 out of 22,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
09/07/2022,55000,2,2,750,1 out of 7,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors,Contact Agent
31/05/2022,28000,2,2,700,4 out of 12,Carpet Area,"Usha Nagar Society, Bhandup West",Mumbai,Furnished,Bachelors/Family,Contact Agent
31/05/2022,150000,2,3,1000,4 out of 9,Carpet Area,"Smoky Hill Apartment, Bandra West",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
12/06/2022,300000,5,5,3000,2 out of 22,Carpet Area,Chandivali,Mumbai,Furnished,Bachelors/Family,Contact Agent
02/07/2022,50000,1,1,413,5 out of 6,Carpet Area,Grant Road,Mumbai,Furnished,Bachelors/Family,Contact Owner
22/05/2022,180000,4,4,1755,6 out of 18,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Family,Contact Agent
31/05/2022,190000,3,4,1850,35 out of 55,Carpet Area,"Crescent Bay Callisto, Parel",Mumbai,Semi-Furnished,Bachelors,Contact Agent
06/05/2022,8000,2,2,890,4 out of 4,Carpet Area,new panvel,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
23/06/2022,75000,3,3,1200,5 out of 12,Carpet Area,Chembur,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
16/06/2022,83000,3,3,1100,9 out of 20,Carpet Area,"Raheja Vista, Powai",Mumbai,Furnished,Bachelors,Contact Agent
07/07/2022,32000,1,2,420,1 out of 3,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,Contact Agent
06/07/2022,39000,2,2,630,6 out of 7,Carpet Area,"Yashodham Complex, Goregaon East",Mumbai,Unfurnished,Family,Contact Agent
03/06/2022,150000,4,3,1705,16 out of 29,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,Contact Agent
23/06/2022,190000,3,3,1300,1 out of 7,Carpet Area,"Sunflower Apartment, Bandra West",Mumbai,Furnished,Bachelors,Contact Agent
08/06/2022,160000,3,3,1355,30 out of 45,Carpet Area,"Oberoi Exquisite II, Film City Road",Mumbai,Furnished,Bachelors/Family,Contact Agent
20/06/2022,25000,1,2,450,5 out of 7,Carpet Area,Goregaon West,Mumbai,Semi-Furnished,Bachelors,Contact Agent
27/05/2022,90000,3,3,1350,5 out of 12,Carpet Area,"Mahindra Vivante, Chakala",Mumbai,Unfurnished,Family,Contact Agent
14/05/2022,95000,2,2,825,17 out of 22,Carpet Area,"lokhandwala residency, Worli",Mumbai,Furnished,Bachelors,Contact Agent
04/07/2022,30000,1,1,550,2 out of 4,Super Area,"Jumbo Darshan , Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
25/05/2022,18500,1,1,430,5 out of 7,Carpet Area,"Gokul Accord, Thakur Complex",Mumbai,Unfurnished,Family,Contact Agent
16/06/2022,18000,1,1,320,5 out of 7,Carpet Area,"spring grove uno, Lokhandwala Twp",Mumbai,Furnished,Bachelors/Family,Contact Agent
23/06/2022,75000,3,3,1100,4 out of 12,Carpet Area,Chembur,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
14/05/2022,150000,4,4,1460,11 out of 13,Carpet Area,"Insignia, Bandra East",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
12/06/2022,100000,3,3,1250,6 out of 18,Carpet Area,"Panch Ritu, Chandivali",Mumbai,Furnished,Bachelors/Family,Contact Agent
28/06/2022,170000,2,3,1000,5 out of 9,Carpet Area,Breach Candy,Mumbai,Furnished,Bachelors/Family,Contact Agent
07/07/2022,45000,2,2,710,8 out of 16,Carpet Area,Saki Vihar Road,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
09/07/2022,200000,3,3,1350,1 out of 5,Carpet Area,Anand niwas,Mumbai,Furnished,Bachelors,Contact Agent
23/06/2022,20000,2,1,400,3 out of 3,Carpet Area,Pant Nagar,Mumbai,Furnished,Bachelors/Family,Contact Owner
07/07/2022,85000,3,4,1000,16 out of 25,Carpet Area,"DLH Orchid, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
06/07/2022,130000,3,3,1500,7 out of 12,Carpet Area,Central Avenue Road,Mumbai,Unfurnished,Family,Contact Agent
09/07/2022,40000,1,1,500,3 out of 6,Super Area,"7 Bungalow, Seven Bungalows",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
30/06/2022,250000,4,4,2000,33 out of 42,Carpet Area,"Imperial Heights, Goregaon West",Mumbai,Furnished,Bachelors,Contact Agent
29/04/2022,15000,1,1,225,Ground out of 4,Carpet Area,Shrikrupa Society,Mumbai,Unfurnished,Bachelors,Contact Owner
13/05/2022,40000,2,2,650,12 out of 19,Carpet Area,Mulund West,Mumbai,Furnished,Bachelors/Family,Contact Agent
06/07/2022,48000,2,2,670,4 out of 16,Carpet Area,"Velentine Tower, Goregaon East",Mumbai,Semi-Furnished,Family,Contact Owner
31/05/2022,15000,2,1,610,Ground out of 6,Carpet Area,"RNA Broadway Avenue, Mira Road",Mumbai,Semi-Furnished,Bachelors,Contact Owner
01/07/2022,28000,1,2,400,1 out of 5,Carpet Area,Chakala,Mumbai,Furnished,Bachelors/Family,Contact Agent
18/06/2022,25000,1,1,340,13 out of 23,Carpet Area,"Mahalaxmi CHS, Worli",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
23/05/2022,34000,2,2,471,9 out of 38,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors,Contact Agent
03/06/2022,75000,1,2,550,6 out of 8,Carpet Area,Carter Road,Mumbai,Furnished,Bachelors/Family,Contact Agent
19/05/2022,45000,2,1,630,8 out of 13,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
27/05/2022,35000,1,2,500,1 out of 8,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
06/07/2022,32000,1,1,400,3 out of 7,Carpet Area,"Trans Residency, Andheri East",Mumbai,Furnished,Bachelors/Family,Contact Agent
04/07/2022,17000,2,2,1000,3 out of 7,Super Area,"holy complex ,Mira Road, Mumbai",Mumbai,Unfurnished,Bachelors/Family,Contact Owner
20/06/2022,230000,4,4,1528,65 out of 76,Carpet Area,"Lodha Marquise, Worli",Mumbai,Unfurnished,Family,Contact Agent
17/05/2022,35000,2,2,650,5 out of 7,Carpet Area,"Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
31/05/2022,8500,1,1,500,6 out of 7,Carpet Area,Thane-Kalyan-Dombivli,Mumbai,Unfurnished,Bachelors,Contact Owner
19/05/2022,80000,3,2,850,19 out of 30,Carpet Area,"Oberoi Splendor, Agarkar Chowk",Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
14/05/2022,55000,1,1,550,13 out of 14,Carpet Area,"Paschim Apartments, Prabhadevi",Mumbai,Semi-Furnished,Bachelors,Contact Agent
12/06/2022,25000,1,2,430,7 out of 21,Carpet Area,"Godrej Tranquil, Kandivali East",Mumbai,Unfurnished,Family,Contact Agent
01/07/2022,40000,3,3,1030,10 out of 14,Carpet Area,"Bhairav Residency, Mira Road",Mumbai,Furnished,Family,Contact Agent
27/06/2022,15500,1,1,250,11 out of 24,Carpet Area,"MHADA Century Mill, Prabhadevi",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
06/07/2022,45000,1,2,500,9 out of 16,Carpet Area,Mahim,Mumbai,Unfurnished,Bachelors,Contact Agent
07/07/2022,180000,4,4,1750,9 out of 31,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors,Contact Agent
06/07/2022,51000,2,2,985,7 out of 15,Carpet Area,"Chembur Heights, Sindhi Society Chembur",Mumbai,Unfurnished,Bachelors/Family,Contact Agent
20/06/2022,60000,3,3,1050,12 out of 13,Carpet Area,"Veena Signature, Borivali West",Mumbai,Unfurnished,Bachelors,Contact Agent
23/05/2022,36000,2,2,700,4 out of 15,Carpet Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,Contact Agent
24/06/2022,180000,3,3,1200,10 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,Contact Agent
23/06/2022,75000,3,3,1000,6 out of 12,Carpet Area,Chembur,Mumbai,Furnished,Bachelors/Family,Contact Agent
20/06/2022,8000,2,2,550,3 out of 9,Carpet Area,"Nakoda Heights, Nalasopara",Mumbai,Unfurnished,Family,Contact Agent
10/05/2022,50000,3,2,806,2 out of 4,Super Area,Wadala,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
09/07/2022,100000,3,3,1400,22 out of 30,Carpet Area,"Hiranandani Verona Co op Housing Society Ltd, Powai",Mumbai,Furnished,Bachelors/Family,Contact Agent
07/07/2022,16500,1,2,470,11 out of 14,Carpet Area,"Kanungos Garden City, Mira Road East",Mumbai,Semi-Furnished,Family,Contact Agent
31/05/2022,4500,1,1,475,3 out of 4,Super Area,Nalasopara West,Mumbai,Unfurnished,Bachelors/Family,Contact Owner
07/07/2022,34000,2,2,583,10 out of 23,Carpet Area,"Oasis, Akurli Nagar",Mumbai,Unfurnished,Family,Contact Agent
16/06/2022,32000,2,2,475,8 out of 12,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,Contact Agent
12/05/2022,50000,2,2,900,1 out of 8,Carpet Area,Yashodham,Mumbai,Furnished,Family,Contact Agent
07/07/2022,24000,1,1,500,3 out of 7,Carpet Area,Dattani Park,Mumbai,Semi-Furnished,Bachelors/Family,Contact Owner
